name;derivedFrom;branch;best;bestAuthor;bundled;our;width;height;items;proven;method;source;bound;expanded;stored;seconds;status;recorded
start;;Fish House;54;Pavel Danihelka;54;54;29;27;5;yes;astar;;54;217622;302388;1,4;solved;2026-08-14
briefcase;;Fish House;225;Pavel Danihelka;225;;48;37;8;;;;;;;;;
cellar;;Fish House;375;Pavel Danihelka;375;;40;35;14;no;astar;;281;14483103;16779686;900,2;time limit reached;2026-08-15
library;;Fish House;111;Pavel Danihelka;111;111;21;37;18;yes;astar;;111;8073221;8800275;55,4;solved;2026-08-14
stairs;;Fish House;163;Pavel Danihelka;163;163;40;30;6;yes;astar;;163;22581029;23552378;105,2;solved;2026-08-15
stairs-simple;stairs;Fish House;163;Pavel Danihelka;163;163;40;30;2;yes;astar;;163;10570581;10847465;73,6;solved;2026-08-15
broom;;Fish House;193;Ivo Danihelka;193;;36;33;11;no;astar;;102;9851470;12006173;90,0;time limit reached;2026-08-14
reef;;Fish House;169;Pavel Danihelka;169;;52;15;6;no;astar;;72;16745856;20742005;90,0;time limit reached;2026-08-14
wc;;Fish House;100;Pavel Danihelka;100;100;23;22;4;yes;astar;;100;197164;198820;1,2;solved;2026-08-14
hanoi;;Branch of the New Generation;402;David Glass;432;;57;21;17;no;astar;;153;6656102;7281664;90,0;time limit reached;2026-08-14
rush;;Branch of the New Generation;852;Miroslav Olšák;852;;37;37;15;no;astar;;125;6857564;7786383;90,0;time limit reached;2026-08-14
fdto;;Branch of the New Generation;243;Masaaki Irie;243;;33;23;21;no;astar;;107;5458013;8849773;90,0;time limit reached;2026-08-14
rotate;;Branch of the New Generation;213;Masaaki Irie;213;;28;14;15;no;astar;;77;3321932;4573471;90,0;time limit reached;2026-08-14
nowall;;Branch of the New Generation;413;Bertram Felgenhauer;420;;30;34;12;no;astar;;38;657231;980601;90,0;time limit reached;2026-08-15
hole;;Branch of the New Generation;459;Masaaki Irie;465;463;50;40;8;no;window;;87;1901487;0;148,9;improved by 2;2026-08-15
key;;Branch of the New Generation;524;David Glass;524;;37;36;23;no;astar;;68;1385011;1727379;90,0;time limit reached;2026-08-15
keys;;Branch of the New Generation;281;Erik Hajduk;281;;22;22;15;no;astar;;61;1437390;2214365;90,0;time limit reached;2026-08-15
linux;;Branch of the New Generation;596;Zmiter Nikitin;656;652;29;32;13;no;window;;86;1116521;0;51,1;improved by 4;2026-08-15
submarine;;Ship Wrecks;83;Pavel Danihelka;83;83;37;15;6;yes;astar;;83;162860;174487;3,8;solved;2026-08-15
party1;;Ship Wrecks;236;Mark Byers;236;;52;33;16;no;astar;;122;2123903;3319597;90,0;time limit reached;2026-08-15
elk;;Ship Wrecks;257;Pavel Danihelka;257;;45;32;7;no;astar;;94;2677611;3599955;90,0;time limit reached;2026-08-15
wreck;;Ship Wrecks;91;Hynek Vychodil;91;91;28;20;7;yes;astar;;91;756029;884792;20,5;solved;2026-08-15
viking1;;Ship Wrecks;119;Pavel Danihelka;119;;36;29;11;no;astar;;50;2239237;3047400;90,0;time limit reached;2026-08-15
airplane;;Ship Wrecks;235;Johannes Drescher;235;;45;27;9;no;astar;;60;2701372;3797580;90,0;time limit reached;2026-08-15
bathyscaph;;Ship Wrecks;82;Pavel Danihelka;82;;46;20;10;no;astar;;82;23387109;33554809;904,7;time limit reached;2026-08-15
tank;;Ship Wrecks;402;Josef Peterka;402;;50;37;17;no;astar;;134;2205355;2769535;90,0;time limit reached;2026-08-15
viking2;;Ship Wrecks;341;Uoti Urpala;341;;53;29;17;no;astar;;105;1731769;2297227;90,0;time limit reached;2026-08-15
